2P,897.0,GES,2402.0,MNL,2397.0,Y,0,320
2P,897.0,MNL,2397.0,GES,2402.0,Y,0,320
4M,3201.0,DFW,3670.0,EZE,3988.0,Y,0,777
4M,3201.0,EZE,3988.0,DFW,3670.0,Y,0,777
4M,3201.0,EZE,3988.0,JFK,3797.0,Y,0,777
4M,3201.0,JFK,3797.0,EZE,3988.0,Y,0,777
5N,503.0,ARH,4362.0,CSH,6110.0,Y,0,AN4
5N,503.0,ARH,4362.0,MMK,2949.0,Y,0,AN4
5N,503.0,ARH,4362.0,USK,4369.0,Y,0,AN4
5N,503.0,CSH,6110.0,ARH,4362.0,Y,0,AN4
5N,503.0,MMK,2949.0,ARH,4362.0,Y,0,AN4
5N,503.0,MMK,2949.0,TOS,663.0,Y,0,AN4
5N,503.0,TOS,663.0,MMK,2949.0,Y,0,AN4
5N,503.0,USK,4369.0,ARH,4362.0,Y,0,AN4
5T,1623.0,YBK,29.0,YCS,5487.0,Y,0,ATR
5T,1623.0,YBK,29.0,YXN,5534.0,Y,0,ATR
5T,1623.0,YCS,5487.0,YBK,29.0,Y,0,AT4
5T,1623.0,YCS,5487.0,YRT,132.0,Y,0,ATR AT4
5T,1623.0,YEK,50.0,YXN,5534.0,Y,0,ATR AT4
5T,1623.0,YEK,50.0,YYQ,187.0,Y,0,ATR AT4
5T,1623.0,YRT,132.0,YBK,29.0,Y,0,AT4
5T,1623.0,YRT,132.0,YCS,5487.0,Y,0,ATR AT4
5T,1623.0,YRT,132.0,YUT,147.0,Y,0,AT4
5T,1623.0,YRT,132.0,YYQ,187.0,Y,0,ATR FRJ AT4
5T,1623.0,YRT,132.0,YZS,41.0,Y,0,ATR AT4
5T,1623.0,YTH,141.0,YYQ,187.0,Y,0,ATR
5T,1623.0,YWG,160.0,YRT,132.0,Y,0,FRJ ATR
5T,1623.0,YWG,160.0,YYQ,187.0,Y,0,FRJ
5T,1623.0,YXN,5534.0,YRT,132.0,Y,0,ATR AT4
5T,1623.0,YYQ,187.0,YEK,50.0,Y,0,ATR
5T,1623.0,YYQ,187.0,YRT,132.0,Y,0,ATR AT4 FRJ
5T,1623.0,YYQ,187.0,YTH,141.0,Y,0,AT4
5T,1623.0,YYQ,187.0,YWG,160.0,Y,0,ATR FRJ AT4
5T,1623.0,YZS,41.0,YRT,132.0,Y,0,ATR
5T,1623.0,YZS,41.0,YUT,147.0,Y,0,AT4
7F,2354.0,YFB,55.0,YLC,5509.0,Y,0,DHT
7F,2354.0,YLC,5509.0,YFB,55.0,Y,0,DHT
7H,16726.0,ABL,7177.0,OTZ,3693.0,Y,0,CNC
7H,16726.0,ABL,7177.0,SHG,7117.0,Y,0,CNC
7H,16726.0,AIN,7220.0,ATK,6714.0,Y,0,CNC
7H,16726.0,AIN,7220.0,BRW,3571.0,Y,0,BE1 CNC
7H,16726.0,AKI,7217.0,KKI,9742.0,Y,0,CNA
7H,16726.0,AKI,7217.0,TLT,7218.0,Y,0,CNA
7H,16726.0,ANI,5967.0,CHU,7091.0,Y,0,CNA
7H,16726.0,ANI,5967.0,HCR,5962.0,Y,0,CNC
7H,16726.0,ANI,5967.0,KLG,5964.0,Y,0,CNA CNC
7H,16726.0,ANI,5967.0,RSH,7098.0,Y,0,CNA
